"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"evm.model.Herato0214.51",316.416683613157,-4.52783800518101,0.520256134516379,-8.70309392774391,3.22956403981897e-18,2.61594687225337e-16
"evm.model.Herato0211.91",270.125161686278,-4.69407722715763,0.612402947785127,-7.66501409592274,1.78811562652363e-14,7.24186828742071e-13
"evm.model.Herato0211.105",235.667811327144,-6.47891116601096,0.879274614994587,-7.36847289290939,1.72593616443935e-13,4.66002764398625e-12
"evm.model.Herato0214.47",193.37943403572,-10.6879010461764,1.51963068919453,-7.03322269165379,2.01816866090117e-12,4.08679153832486e-11
"evm.model.Herato0211.92",122.530091726125,-10.0345072945558,1.54337769777029,-6.50165368402862,7.94418197255627e-11,1.28695747955412e-09
"evm.model.Herato0211.101",197.296683279483,-3.04433736577016,0.481937810250734,-6.3168676559872,2.66917972170167e-10,3.08862224939764e-09
"evm.model.Herato0211.57",97.9309664035828,-9.70876209252884,1.53569253482897,-6.32207416024857,2.58075461529794e-10,3.08862224939764e-09
"evm.model.Herato0214.16",125.004646815239,-10.0546028767072,1.62822593137018,-6.1751890097009,6.60843644636147e-10,5.35283352155279e-09
"evm.model.Herato0214.20",88.2027147643843,-9.55581055823295,1.53923091667446,-6.20817218177924,5.36044020026637e-10,5.35283352155279e-09
"evm.model.Herato0214.28",111.822957496598,-5.66779614498215,0.917560656692259,-6.17702612208129,6.53202691469989e-10,5.35283352155279e-09
"evm.model.Herato0214.30",392.753883502181,3.93933163027871,0.646547822966443,6.09286968472735,1.109043425695e-09,8.16659249829958e-09
"evm.model.Herato0214.18",58.7370025061041,-6.48879549957418,1.20714987432282,-5.37530230305019,7.6454298304867e-08,5.16066513557852e-07
"evm.model.Herato0214.31",75.9311971231151,2.93911727313332,0.558516907831304,5.26236042619691,1.4221762041569e-07,8.86125173359298e-07
"evm.model.Herato0211.102",181.383052520352,-2.31878140682084,0.488877232498323,-4.74307505581945,2.10498234345273e-06,1.13669046546447e-05
"evm.model.Herato0211.63",25.4213796900904,-7.76632239960231,1.64373990555747,-4.72478788970471,2.30355666164761e-06,1.1661755599591e-05
"evm.model.Herato0214.45",51.4713352940928,-7.3258653022227,1.57984848004004,-4.63706829786426,3.5338566955634e-06,1.68377877847433e-05
"evm.model.Herato0211.68",22.742140197484,-7.5916869508688,1.67611113730961,-4.52934580642098,5.91665946532126e-06,2.55515865403577e-05
"evm.model.Herato0211.78",30.1311002414499,-4.4953520862196,0.995480921635962,-4.51575915571741,6.30903371366858e-06,2.55515865403577e-05
"evm.model.Herato0213.2",87.8700522575174,-2.8154113575337,0.623288731422085,-4.51702592329899,6.27142302957723e-06,2.55515865403577e-05
"evm.model.Herato0211.100",22.2982228935164,-7.5832011531643,1.68689268928463,-4.49536665926282,6.94501685078371e-06,2.67879221387372e-05
"evm.model.Herato0211.61",142.935040297826,-2.35428977909613,0.525874672678535,-4.47690277058713,7.57337190468665e-06,2.78837783763463e-05
"evm.model.Herato0211.89",30.9097518045142,5.0009974270338,1.12685493063428,4.43801352869694,9.07929138798403e-06,3.19748957576829e-05
"evm.model.Herato0214.54",470.221967615122,-2.07973354265621,0.538787936806275,-3.86002247003535,0.00011337659906296,0.000382646021837491
"evm.model.Herato0211.79",9.57560916375358,7.09571915920899,1.87214381507942,3.79015709266329,0.000150552039798275,0.000487788608946411
"evm.model.Herato0213.4",20.8012925234233,-5.00863055952768,1.32522689838592,-3.77945132688448,0.00015717431210138,0.000489658433854298
"evm.model.Herato0211.73",52.2684258947715,2.26813267948818,0.605172040588134,3.7479138614598,0.000178311465574433,0.0005349343967233
"evm.model.Herato0214.32",11.9415166510218,-6.65150257996724,1.89940828499503,-3.50188141881494,0.00046198518475685,0.00133645714161803
